"Bean_Type","Broad_Bean_Origin","Cocoa_Percent","Company_Location","Company",REF,Rating,"Review_Date","Specific_Bean_Origin_or_Bar_Name"
 ,Ecuador,71%,Spain,Cacao Sampaka,523,3.75,2010,Ecuador
 ,Papua New Guinea,71%,Spain,Cacao Sampaka,523,4.0,2010,Papua
Trinitario,Grenada,71%,Spain,Cacao Sampaka,537,3.25,2010,Grenada
 ,Venezuela,71%,Spain,Cacao Sampaka,537,3.5,2010,Venezuela
 ,Venezuela,77%,Spain,Cacao Sampaka,537,3.5,2010,Venezuela
Criollo,Mexico,70%,Spain,Cacao Sampaka,336,4.0,2009,"Porcelana, Tabasco, La Joya"
Criollo,Mexico,70%,Spain,Cacao Sampaka,346,4.0,2009,"Xoconusco, Chiapas"
Trinitario,Madagascar,70%,Japan,Cacao Store,1684,3.0,2015,Madagascar
 ,Peru,70%,Japan,Cacao Store,1684,3.25,2015,Peru
Trinitario,Vietnam,70%,Japan,Cacao Store,1684,3.5,2015,Vietnam
 ,Peru,70%,Peru,Cacaosuyo (Theobroma Inversiones),1173,3.25,2013,Piura
Forastero (Arriba),Ecuador,63%,Ecuador,Cacaoyere (Ecuatoriana),237,3.5,2008,Amazonia
Forastero (Arriba),Ecuador,71%,Ecuador,Cacaoyere (Ecuatoriana),237,3.5,2008,Esmeraldas
Forastero (Arriba),Ecuador,82%,Ecuador,Cacaoyere (Ecuatoriana),245,2.5,2008,Bolivar
Forastero (Arriba),Ecuador,91%,Ecuador,Cacaoyere (Ecuatoriana),259,1.5,2008,Pichincha
Trinitario,Grenada,60%,Belgium,Callebaut,296,2.75,2008,Grenade
 ,Ecuador,70%,Belgium,Callebaut,141,1.0,2007,Baking
 ,Cuba,75%,Italy,C-Amaro,1442,2.5,2014,Cuba
 ,Dominican Republic,72%,Italy,C-Amaro,1442,3.0,2014,Dominican Republic
Blend,,70%,Italy,C-Amaro,1442,3.5,2014,"Lago di Como, Blu"
 ,Ecuador,100%,Italy,C-Amaro,1185,3.5,2013,Ecuador
 ,Venezuela,80%,Italy,C-Amaro,809,3.0,2012,Venezuela
Forastero,Sao Tome,78%,Italy,C-Amaro,749,2.25,2011,Sao Tome
Trinitario,Trinidad,70%,Italy,C-Amaro,765,2.5,2011,Trinidad
Criollo,Venezuela,75%,U.S.A.,Cao,1804,2.5,2016,Porcelana
 ,Tanzania,73%,U.S.A.,Cao,1804,2.75,2016,Tanzania
Criollo,Venezuela,70%,U.S.A.,Cao,1804,3.0,2016,"Porcelana, Batch 5163"
 ,Bolivia,75%,U.S.A.,Cao,1808,3.0,2016,Bolivia
Trinitario,Brazil,70%,U.S.A.,Cao,1808,3.25,2016,Brazil
Forastero (Arriba),Ecuador,77%,Ecuador,Caoni (Tulicorp),237,2.0,2008,Esmeraldas
Forastero (Arriba),Ecuador,77%,Ecuador,Caoni (Tulicorp),237,2.5,2008,Manabi
Forastero (Arriba),Ecuador,77%,Ecuador,Caoni (Tulicorp),245,2.75,2008,Los Rios
Forastero (Arriba),Ecuador,55%,Ecuador,Caoni (Tulicorp),266,3.0,2008,Manabi
Forastero (Arriba),Ecuador,55%,Ecuador,Caoni (Tulicorp),269,3.25,2008,Los Rios
Forastero (Arriba),Ecuador,55%,Ecuador,Caoni (Tulicorp),269,3.5,2008,Esmeraldas
Trinitario,Papua New Guinea,70%,New Zealand,Captain Pembleton,1263,3.5,2014,"Saidor Estate, Madang P."
 ,Papua New Guinea,70%,New Zealand,Captain Pembleton,1263,3.75,2014,Kulili Estate
 ,Guatemala,72%,Costa Rica,Caribeans,1582,3.5,2015,"Antigua, Special Reserve"
 ,Costa Rica,72%,Costa Rica,Caribeans,1586,3.25,2015,"Talamanca, Raul-Kekoldo community"
 ,Costa Rica,72%,Costa Rica,Caribeans,1586,3.5,2015,Anselmo Paraiso Estate
Forastero,Costa Rica,72%,Costa Rica,Caribeans,841,3.0,2012,Costa Rica
Forastero,Costa Rica,80%,Costa Rica,Caribeans,845,2.75,2012,Costa Rica
Trinitario,Colombia,65%,Colombia,Carlotta Chocolat,1884,3.0,2016,Arauca
Trinitario,Colombia,65%,Colombia,Carlotta Chocolat,1888,3.25,2016,Tumaco
Trinitario,Colombia,65%,Colombia,Carlotta Chocolat,1888,3.25,2016,Cordoba
Trinitario,Colombia,65%,Colombia,Carlotta Chocolat,1888,3.5,2016,Huila
CCN51,Colombia,65%,Colombia,Carlotta Chocolat,1888,3.5,2016,Cesar
Trinitario,Belize,72%,U.S.A.,Castronovo,1724,4.0,2016,"Maya Mtn, Batch 454, Heirloom"
Trinitario,Honduras,72%,U.S.A.,Castronovo,1570,3.5,2015,"the lost city, gracias a dias, batch 362"
"Criollo, Trinitario",Dominican Republic,70%,U.S.A.,Castronovo,1570,3.75,2015,"Duarte, Batch 360"
 ,Venezuela,72%,U.S.A.,Castronovo,1574,3.5,2015,"Piaroa, Amazonas, Batch 350"
"Criollo, Trinitario",Colombia,72%,U.S.A.,Castronovo,1347,3.5,2014,Sierra Nevada
"Criollo, Trinitario",Colombia,76%,U.S.A.,Castronovo,1371,3.5,2014,Arauca
Trinitario,Dominican Republic,70%,U.S.A.,Castronovo,1407,2.75,2014,Elvesia P.
Trinitario,Bolivia,70%,U.S.A.,Castronovo,1101,3.0,2013,Bolivia
Trinitario,Dominican Republic,73%,U.S.A.,Castronovo,1101,3.5,2013,Conacado
Criollo,Peru,70%,U.S.A.,Castronovo,1105,2.5,2013,San Martin
 ,Venezuela,70%,U.S.A.,Castronovo,1105,3.25,2013,"Guaniamo, Amazonas"
Trinitario,Nicaragua,72%,U.S.A.,Castronovo,1109,3.25,2013,Nicaragua
Criollo,Peru,70%,U.S.A.,Castronovo,1153,2.75,2013,Tumbes
 ,Venezuela,72%,U.S.A.,Castronovo,1153,3.0,2013,Guaniamo
 ,Ecuador,70%,U.S.A.,Cello,1247,2.5,2014,Ecuador
 ,Peru,70%,U.S.A.,Cello,1247,2.75,2014,Peru
 ,Venezuela,70%,U.S.A.,Cello,1251,2.75,2014,Venezuela
 ,Bolivia,70%,U.S.A.,Cello,1251,3.0,2014,Bolivia
 ,Ecuador,72%,France,Cemoi,404,2.75,2009,Equateur
Forastero,Uganda,70%,Canada,Chaleur B,1426,2.75,2014,Uganda
 ,Belize,70%,U.S.A.,Charm School,1900,3.25,2016,Maya Mtn
Forastero (Arriba),Ecuador,55%,Ecuador,Chchukululu (Tulicorp),486,2.75,2010,Arriba
Forastero (Arriba),Ecuador,75%,Ecuador,Chchukululu (Tulicorp),252,3.0,2008,Los Rios
 ,Costa Rica,70%,U.S.A.,Chequessett,1235,3.5,2014,la Amistad
 ,,70%,France,Chloe Chocolat,672,3.5,2011,Blend No. 1
 ,Ecuador,70%,U.K.,Chocablog,1454,3.25,2015,Ecuador
Trinitario,Belize,75%,Germany,Choco Del Sol,1407,3.0,2014,Maya Mountain w/ nibs
Trinitario,Belize,82%,Germany,Choco Del Sol,1407,3.25,2014,Maya Mountain
Trinitario,Vietnam,70%,South Korea,Choco Dong,1696,2.75,2015,"Mekong Delta, early 2014 Harvest"
Trinitario,Malaysia,70%,South Korea,Choco Dong,1696,3.5,2015,"Tawau, Oct. 2015 Harvest"
Criollo,Peru,65%,U.K.,Chocolarder,1482,2.5,2015,Peru
Criollo,Peru,65%,U.K.,Chocolarder,1482,2.75,2015,Peru + nibs
 ,Dominican Republic,80%,U.K.,Chocolarder,1514,2.5,2015,Dominican Republic
Trinitario,Madagascar,70%,U.S.A.,Chocola'te,647,3.75,2011,Madagascar
 ,Venezuela,68%,U.S.A.,Chocola'te,647,3.75,2011,Venezuela
 ,Peru,90%,U.S.A.,Chocolate Alchemist-Philly,1772,2.5,2016,"Tumbes, ""Zarumilla"""
 ,,80%,U.S.A.,Chocolate Alchemist-Philly,1772,2.5,2016,"Philly Blend, 5 plantations"
 ,Bolivia,70%,U.S.A.,Chocolate Con Amor,1760,2.5,2016,Wild Bolivian
 ,Uganda,70%,U.S.A.,Chocolate Con Amor,1760,2.75,2016,Uganda
 ,Dominican Republic,60%,U.S.A.,Chocolate Con Amor,1764,3.0,2016,Dominican Republic
 ,Dominican Republic,75%,U.S.A.,Chocolate Con Amor,1764,3.0,2016,Dominican Republic
Criollo (Ocumare),Venezuela,80%,U.S.A.,Chocolate Con Amor,1764,3.0,2016,Ocumare
 ,Ecuador,70%,U.S.A.,Chocolate Con Amor,1764,3.25,2016,Ecuador
 ,Nicaragua,80%,U.S.A.,Chocolate Con Amor,1768,2.75,2016,Nicaragua
 ,Peru,74%,U.S.A.,Chocolate Conspiracy,1259,2.75,2014,Peru
Trinitario,Dominican Republic,75%,Amsterdam,Chocolate Makers,1530,3.25,2015,Tres Hombres
Forastero,Congo,68%,Amsterdam,Chocolate Makers,1530,3.5,2015,"Congo, Gorilla bar"
Criollo,Peru,80%,Amsterdam,Chocolate Makers,1530,3.75,2015,"Peru, Awagum bar"
Forastero (Nacional),Peru,69%,Scotland,"Chocolate Tree, The",1582,3.75,2015,Maranon
Trinitario,Venezuela,80%,Scotland,"Chocolate Tree, The",1582,3.75,2015,Carenero Superior
Forastero (Nacional),Peru,70%,Scotland,"Chocolate Tree, The",1121,3.75,2013,Peru
Forastero (Arriba),Ecuador,82%,Scotland,"Chocolate Tree, The",919,2.5,2012,Ecuador
Criollo,Peru,68%,Scotland,"Chocolate Tree, The",919,2.75,2012,Peru
Criollo,Madagascar,72%,Scotland,"Chocolate Tree, The",919,3.25,2012,Madagascar
Criollo,Mexico,70%,Canada,Chocolats Privilege,1219,2.5,2014,Xoconusco
Criollo,Venezuela,77%,Japan,ChocoReko,1454,3.0,2015,Patanemo
 ,Mexico,65%,Canada,Chocosol,682,3.25,2011,"Chiapas, Lacandon Jungle, Oaxacom Mtn"
Criollo,Mexico,71%,Spain,Chocovic,478,3.25,2010,Xoconusco
Trinitario,Madagascar,71%,Spain,Chocovic,478,3.5,2010,Sambirano
 ,,60%,Spain,Chocovic,439,3.25,2009,Kendari
 ,,75%,Spain,Chocovic,439,3.25,2009,Tarakan
Criollo,Venezuela,71%,Spain,Chocovic,209,3.5,2008,Ocumare
Forastero (Arriba),Ecuador,71%,Spain,Chocovic,117,2.5,2007,"Bolivar, Guaranda"
Trinitario,Grenada,71%,Spain,Chocovic,117,2.5,2007,Guyave
Blend,,70%,Spain,Chocovic,117,3.0,2007,Maragda
Trinitario,Mexico,65%,U.S.A.,Chocovivo,1522,2.5,2015,Tabasco
Trinitario,Mexico,75%,U.S.A.,Chocovivo,1522,2.5,2015,Tabasco
Criollo,Venezuela,80%,Canada,Choklat,377,2.5,2009,Ocumare
Criollo,Mexico,70%,Canada,Choklat,377,2.75,2009,"Porcelana, Tabasco"
 ,Brazil,70%,Canada,Choklat,377,3.0,2009,Brazilian
 ,Brazil,80%,Canada,Choklat,377,3.0,2009,Brazilian
Criollo,Venezuela,70%,Canada,Choklat,377,3.0,2009,Ocumare
 ,Martinique,42%,Martinique,Chokolat Elot (Girard),1149,2.75,2013,Guadeloupe
 ,Mexico,75%,Canada,Choocsol,1832,3.25,2016,"Chiapas, Lacandon Jungle, Oaxacom Mtn"
Forastero (Nacional),Peru,68%,Canada,Christopher Morel (Felchlin),666,3.75,2011,"Maranon Canyon, Fortunato No. 4"
Criollo,Venezuela,61%,U.S.A.,Chuao Chocolatier,445,3.0,2009,Choroni
Trinitario,Venezuela,77%,U.S.A.,Chuao Chocolatier (Pralus),486,2.75,2010,Chuao
Forastero,Sao Tome & Principe,73.5%,Sao Tome,Claudio Corallo,470,3.75,2010,Terreiro Velho P.
Forastero,Sao Tome & Principe,80%,Sao Tome,Claudio Corallo,209,3.0,2008,Terreiro Velho P. w/ sugar crystals
Forastero,Sao Tome & Principe,75%,Sao Tome,Claudio Corallo,227,4.0,2008,Terreiro Velho P.
Forastero,Sao Tome & Principe,100%,Sao Tome,Claudio Corallo,252,1.0,2008,Principe
 ,Ecuador,73%,U.S.A.,Cloudforest,1486,3.5,2015,"Camino Verde P., Balao, Guayas, 2014"
Trinitario,Madagascar,75%,U.S.A.,Coleman & Davis,1646,3.0,2015,Sambirano
 ,Venezuela,70%,Argentina,Compania de Chocolate (Salgado),579,3.25,2010,Sur del Lago
Trinitario,Venezuela,80%,Argentina,Compania de Chocolate (Salgado),292,2.75,2008,Carenero Superior
 ,Bolivia,72%,Argentina,Compania de Chocolate (Salgado),292,3.25,2008,Moxos
Criollo,Venezuela,70%,Argentina,Compania de Chocolate (Salgado),292,3.75,2008,Ocumare
Forastero (Nacional),Ecuador,88%,Argentina,Compania de Chocolate (Salgado),296,2.75,2008,Esmeraldas
 ,Ecuador,76%,U.S.A.,Condor,1630,3.5,2015,Camino Verde
Trinitario,Vietnam,78%,U.S.A.,Confluence,1916,2.75,2016,"Tien Giang, 2015, batch 10-2-16"
Forastero (Nacional),Ecuador,65%,Germany,Coppeneur,1169,3.25,2013,"Ecuador, Puristique"
Forastero,Ghana,85%,Germany,Coppeneur,813,3.5,2012,Ghana Puristique
 ,Ecuador,100%,Germany,Coppeneur,817,1.5,2012,Ecuador Puristique
Forastero,Sao Tome & Principe,72%,Germany,Coppeneur,821,3.75,2012,Uba Budo
Trinitario,Madagascar,70%,Germany,Coppeneur,959,3.5,2012,Madagascar
Trinitario,Grenada,72%,Germany,Coppeneur,470,3.25,2010,Grenada
Trinitario,Venezuela,70%,Germany,Coppeneur,478,3.0,2010,Chuao
Nacional,Ecuador,72%,Germany,Coppeneur,558,2.5,2010,"Los Rios, H. Iara"
Trinitario,Trinidad,72%,Germany,Coppeneur,558,3.0,2010,Trinidad
Trinitario,Jamaica,72%,Germany,Coppeneur,558,3.25,2010,Jamaica
Criollo (Ocumare 61),Venezuela,72%,Germany,Coppeneur,558,3.25,2010,Ocumare 61
Criollo,Peru,72%,Germany,Coppeneur,341,3.0,2009,"Porcelana, Apotequil"
Criollo,Peru,62%,Germany,Coppeneur,445,3.25,2009,"Porcelana, Apotequil"
"Criollo, Trinitario",Venezuela,70%,Germany,Coppeneur,451,3.5,2009,Chuao 100hr
"Criollo, Trinitario",Venezuela,70%,Germany,Coppeneur,451,3.75,2009,Chuao 70hr
Criollo,Mexico,72%,Germany,Coppeneur,220,3.0,2008,"Porcelana, Tabasco, Mexico"
Criollo (Porcelana),Venezuela,72%,Germany,Coppeneur,220,3.0,2008,"Porcelana, Venezuela"
Trinitario,Madagascar,72%,Germany,Coppeneur,196,3.0,2007,"Sambirano, Menava P."
 ,,70%,Belgium,Cote d' Or (Kraft),48,1.0,2006,Sensations Intense
Forastero,Papua New Guinea,70%,Australia,Cravve,1283,2.5,2014,New Ireland
Trinitario,Vanuatu,83%,Australia,Cravve,1335,2.75,2014,"Vanuatu, batch 2410"
Forastero,Tanzania,75%,Australia,Cravve,971,3.25,2012,"Tanzania, batch a1"
Trinitario,Brazil,65%,Australia,Cravve,975,3.25,2012,"Bahia, batch a1213"
Trinitario,Fiji,67%,Australia,Cravve,975,3.25,2012,"Namau Village, N. Taileva P., batch a2812"
Trinitario,Vanuatu,64%,Australia,Cravve,975,3.25,2012,Vanuatu
Forastero,Papua New Guinea,75%,Australia,Cravve,975,3.5,2012,Djual Island
Forastero (Nacional),Ecuador,85%,U.S.A.,Creo,1736,3.25,2016,"""heirloom"", Arriba Nacional"
Forastero (Nacional),Ecuador,73%,U.S.A.,Creo,1736,3.75,2016,"""heirloom"", Arriba Nacional"
 ,Australia,70%,Australia,Daintree,1654,2.75,2015,Goodman Estate
 ,Australia,70%,Australia,Daintree,785,3.25,2011,"Daintree Estates, N. Queensland"
 ,Dominican Republic,72%,U.S.A.,Dalloway,1928,2.75,2017,"Dominican Republic, batch 7"
Trinitario,Trinidad,70%,U.K.,Damson,1610,3.0,2015,Robson Estate
 ,Ecuador,70%,U.K.,Damson,1610,3.5,2015,Los Rios
 ,Grenada,70%,U.K.,Damson,1666,2.25,2015,Crayfish Bay aka Non Pariel Estate
 ,Nicaragua,70%,U.K.,Damson,1666,2.75,2015,O'Payo
 ,,70%,U.S.A.,Dandelion,1816,3.75,2016,"Zorzal Reserva, 2015 H., Kerchner"
Trinitario,Belize,70%,U.S.A.,Dandelion,1446,3.0,2015,"Maya Mtn., Break Bar- Snark"
Trinitario,Belize,70%,U.S.A.,Dandelion,1219,3.5,2014,Maya Mountain
 ,Ecuador,70%,U.S.A.,Dandelion,1295,3.5,2014,"Camino Verde P., Balao, Guayas, 2013"
 ,Liberia,70%,U.S.A.,Dandelion,1303,2.75,2014,Buto
 ,Dominican Republic,70%,U.S.A.,Dandelion,1387,3.75,2014,"San Francisco de Macoris, Cibao region"
 ,Venezuela,70%,U.S.A.,Dandelion,1026,2.75,2013,"Cumboto, farmer Jose Lugo"
 ,Venezuela,70%,U.S.A.,Dandelion,1026,3.25,2013,Patanemo
 ,Venezuela,70%,U.S.A.,Dandelion,1085,3.5,2013,"Mantuano, 2012"
 ,Papua New Guinea,70%,U.S.A.,Dandelion,1153,3.5,2013,Papua New Guinea
 ,Costa Rica,70%,U.S.A.,Dandelion,805,3.0,2012,Upala
 ,Colombia,70%,U.S.A.,Dandelion,805,3.25,2012,Colombian
 ,Dominican Republic,70%,U.S.A.,Dandelion,915,3.75,2012,"Elvesia, 2011"
 ,Dominican Republic,70%,U.S.A.,Dandelion,654,3.25,2011,Dominican Republic
Trinitario,Madagascar,70%,U.S.A.,Dandelion,654,3.25,2011,Madagascar
 ,Tanzania,70%,U.S.A.,Dandelion,654,3.25,2011,Tanzania
 ,Guatemala,82%,Guatemala,Danta,1223,3.25,2014,Los Ujuxtes
Trinitario,Venezuela,75%,Guatemala,Danta,987,3.0,2012,Chuao
 ,Guatemala,70%,Guatemala,Danta,987,3.75,2012,Los Ujuxtes
Trinitario,Madagascar,70%,Guatemala,Danta,987,3.75,2012,Sambirano
Criollo,Guatemala,70%,Guatemala,Danta,987,4.0,2012,Las Acacias E.
 ,Guatemala,70%,Guatemala,Danta,991,3.25,2012,"Oscuro, Finca Chimelb"
 ,Guatemala,60%,Guatemala,Danta,661,3.5,2011,Los Ujuxtes
Criollo,Guatemala,75%,Guatemala,Danta,423,3.0,2009,Las Acacias E.
Criollo,Guatemala,60%,Guatemala,Danta,423,3.25,2009,Las Acacias E.
 ,Venezuela,72%,U.S.A.,DAR,1920,2.75,2016,"Venezuela, batch 122"
Trinitario,Vietnam,72%,U.S.A.,DAR,1920,3.0,2016,Vietnam
 ,Bolivia,75%,U.S.A.,Dark Forest,1708,3.25,2016,Bolivia
Trinitario,Madagascar,70%,U.S.A.,Dark Forest,1550,3.0,2015,Madagascar
 ,Venezuela,70%,U.S.A.,Dark Forest,1550,3.25,2015,Ocumare
 ,Tanzania,70%,U.S.A.,Dark Forest,1554,3.0,2015,Tanzania
 ,Ecuador,70%,U.S.A.,Dark Forest,1554,3.25,2015,Ecuador
Forastero,Ghana,70%,U.S.A.,Davis,1093,2.5,2013,Ghana
 ,Dominican Republic,70%,U.S.A.,Davis,1093,2.75,2013,Rainforest
 ,Venezuela,70%,U.S.A.,Davis,1093,2.75,2013,Venezuela
Forastero,West Africa,58%,U.S.A.,Davis,907,3.25,2012,West Africa
 ,Brazil,72%,Brazil,De Mendes,1462,3.5,2015,"Nativo, Varzea"
 ,Brazil,65%,Brazil,De Mendes,1462,3.5,2015,"Selvagem, Jari"
Forastero,Uganda,70%,South Africa,De Villiers,1832,2.5,2016,Bundibugyo District
 ,Madagascar,70%,South Africa,De Villiers,1832,3.0,2016,"Sambirano Valley, batch 2477"
Trinitario,Madagascar,66%,U.S.A.,Dean and Deluca (Belcolade),170,2.5,2007,Madagascar
 ,Costa Rica,64%,U.S.A.,Dean and Deluca (Belcolade),175,3.0,2007,Costa Rica
 ,Ecuador,71%,U.S.A.,Dean and Deluca (Belcolade),175,3.0,2007,Ecuador
Forastero,Ghana,60%,U.S.A.,Dean and Deluca (Belcolade),175,3.0,2007,Ghana
 ,Papua New Guinea,64%,U.S.A.,Dean and Deluca (Belcolade),180,3.0,2007,Papua New Guinea
 ,Peru,64%,U.S.A.,Dean and Deluca (Belcolade),180,3.0,2007,Peru
 ,Papua New Guinea,64%,France,Debauve & Gallais (Michel Cluizel),423,3.0,2009,Papua New Guinea
 ,Venezuela,66%,France,Debauve & Gallais (Michel Cluizel),263,3.75,2008,Venezuela
 ,Tanzania,72%,Canada,Desbarres,1916,2.5,2016,"Kilombero, batch 41"
 ,Bolivia,80%,U.S.A.,DeVries,241,2.75,2008,Bolivian
Trinitario,Costa Rica,77%,U.S.A.,DeVries,166,3.5,2007,Costa Rica
 ,Dominican Republic,77%,U.S.A.,DeVries,166,3.5,2007,Dominican Republic
 ,Guatemala,70%,U.S.A.,Dick Taylor,1952,3.75,2017,Lanquin Estate
Trinitario,Vietnam,78%,U.S.A.,Dick Taylor,1864,3.5,2016,Tien Giang
 ,Bolivia,70%,U.S.A.,Dick Taylor,1634,3.75,2015,"Alto Beni, Wild Harvest, Limited Ed."
 ,Dominican Republic,74%,U.S.A.,Dick Taylor,1235,3.5,2014,Elvesia
 ,Ecuador,70%,U.S.A.,Dick Taylor,1034,3.25,2013,"Ecuador, Choc. Garage Exclusive"
 ,Ecuador,76%,U.S.A.,Dick Taylor,1193,3.5,2013,Camino Verde
 ,Bolivia,75%,U.S.A.,Dick Taylor,895,2.75,2012,Bolivia
Trinitario,Belize,72%,U.S.A.,Dick Taylor,955,2.75,2012,Belize
Trinitario,Madagascar,80%,U.S.A.,Dick Taylor,661,2.75,2011,Sambirano
Trinitario,Madagascar,72%,U.S.A.,Dick Taylor,661,3.0,2011,Sambirano
Criollo,Venezuela,75%,U.S.A.,Dick Taylor,682,2.75,2011,Mantuano
 ,Dominican Republic,74%,U.S.A.,Dick Taylor,769,3.0,2011,La Red
 ,Ecuador,70%,U.S.A.,Dick Taylor,769,3.25,2011,Ecuador
 ,Venezuela,85%,U.K.,Doble & Bignall,1688,3.0,2015,Puerto Cabello
 ,Panama,72%,U.K.,Doble & Bignall,1371,3.25,2014,"Panama, Raven"
Trinitario,Venezuela,72%,U.K.,Doble & Bignall,1371,3.25,2014,"Puerto Cabello, Mantuano"
"Criollo, Trinitario",Nicaragua,72%,U.K.,Doble & Bignall,1407,3.5,2014,Johe
 ,Hawaii,70%,U.S.A.,Dole (Guittard),311,3.75,2009,"O'ahu, N. Shore, Waialua Estate"
Forastero,West Africa,88%,Belgium,Dolfin (Belcolade),304,3.0,2008,Africa
 ,,70%,Belgium,Dolfin (Belcolade),63,1.5,2006,Noir
 ,Ecuador,70%,Italy,Domori,1672,3.75,2015,Hacienda Victoria
Criollo (Ocumare 77),Venezuela,70%,Italy,Domori,1672,3.75,2015,Ocumare 77
Criollo,Venezuela,100%,Italy,Domori,1109,3.0,2013,"IL100, H. San Jose"
 ,Tanzania,70%,Italy,Domori,863,3.5,2012,Morogoro
Criollo,Venezuela,70%,Italy,Domori,863,3.75,2012,Guasare
Criollo,Venezuela,70%,Italy,Domori,693,3.5,2011,"Canoabo, Hacienda San Jose"
Trinitario,Venezuela,70%,Italy,Domori,470,3.0,2010,"Chuao, Hacienda San Jose"
Trinitario,Venezuela,70%,Italy,Domori,227,3.0,2008,"Carupano, H. San Jose"
 ,Colombia,70%,Italy,Domori,272,3.0,2008,Teyuna
Blend,,78%,Italy,Domori,272,3.5,2008,Blend No. 1
Blend,,70%,Italy,Domori,272,3.75,2008,Ilblend
Criollo (Porcelana),Venezuela,70%,Italy,Domori,111,4.0,2007,Porcelana
Criollo (Ocumare 61),Venezuela,75%,Italy,Domori,129,3.25,2007,"Ocumare 61, Puertomar"
Trinitario,Venezuela,60%,Italy,Domori,135,3.25,2007,Granella
Trinitario,Madagascar,70%,Italy,Domori,135,3.5,2007,Madagascar
Criollo,Madagascar,70%,Italy,Domori,192,3.5,2007,Madagared
Criollo,Indonesia,70%,Italy,Domori,192,3.75,2007,"Java, Javablond"
Forastero (Arriba),Ecuador,70%,Italy,Domori,192,4.0,2007,Ecuador
Criollo (Ocumare 67),Venezuela,70%,Italy,Domori,192,4.0,2007,"Ocumare 67, Puertofino"
Trinitario,Venezuela,70%,Italy,Domori,87,3.0,2006,Sur del Lago Classificado
Trinitario,Peru,70%,Italy,Domori,87,3.25,2006,Apurimac
Trinitario,Venezuela,70%,Italy,Domori,87,3.5,2006,Carenero Superior
Trinitario,Grenada,75%,U.K.,Dormouse,1880,2.75,2016,Non Pariel Estate
Trinitario,Venezuela,70%,U.K.,Dormouse,1672,2.5,2015,"Rio Caribe, Batch 7"
"Criollo, Trinitario",Colombia,80%,U.K.,Dormouse,1676,2.75,2015,"Colombia, Batch 9"
"Criollo, Trinitario",Madagascar,77%,U.K.,Dormouse,1676,2.75,2015,"Madagascar, Batch 8"
Criollo,Guatemala,70%,U.K.,Duffy's,1662,4.0,2015,"Rio Dulce, Xoco"
Criollo,Nicaragua,70%,U.K.,Duffy's,1331,3.5,2014,"Chuno, Xoco"
Criollo,Nicaragua,76%,U.K.,Duffy's,1331,3.75,2014,"Rico Rugoso, Xoco"
 ,Venezuela,72%,U.K.,Duffy's,923,3.75,2012,Ocumare
Criollo,Honduras,72%,U.K.,Duffy's,623,3.75,2011,"Indio Rojo, Xoco"
 ,Dominican Republic,65%,U.K.,Duffy's,661,3.5,2011,Dominican Republic
 ,Panama,72%,U.K.,Duffy's,697,3.0,2011,"Bocas del Toro, Tierra Oscura"
Criollo,Nicaragua,71%,U.K.,Duffy's,697,3.25,2011,"Nicaliso, Xoco"
 ,Venezuela,71%,U.K.,Duffy's,765,3.5,2011,Ocumare
 ,Panama,70%,U.K.,Duffy's,516,3.5,2010,Panama
 ,Ecuador,72%,U.K.,Duffy's,516,3.75,2010,"Corazon del Ecuador, Calceta beans"
 ,Ecuador,70%,U.K.,Duffy's,523,2.5,2010,Star of Ecuador
 ,Peru,70%,U.K.,Duffy's,523,3.75,2010,Star of Peru
 ,Dominican Republic,70%,U.S.A.,Dulcinea,1506,3.25,2015,Dominican Republic
Trinitario,Madagascar,82%,France,Durand,841,2.75,2012,Madagascar
Forastero (Nacional),Peru,70%,U.S.A.,Durci,1626,3.5,2015,"Maranon, Joya Rara"
Trinitario,Venezuela,70%,U.S.A.,Durci,1626,3.5,2015,"Rio Caribe, Tepui Treasure"
 ,Dominican Republic,70%,U.S.A.,Durci,1630,3.25,2015,Taino Secret
Trinitario,Venezuela,70%,U.S.A.,Durci,1630,3.25,2015,"Carenero, Empyrean Sabor"
 ,Ecuador,70%,U.S.A.,Durci,1630,4.0,2015,Corona Arriba
 ,Peru,70%,Canada,East Van Roasters,1343,3.25,2014,Peru
Trinitario,Madagascar,70%,Canada,East Van Roasters,1343,3.5,2014,Madagascar
 ,Dominican Republic,70%,Canada,East Van Roasters,1343,3.75,2014,Dominican Republic
 ,Colombia,70%,Canada,Eau de Rose,1812,3.25,2016,Tumaco
 ,Colombia,70%,Canada,Eau de Rose,1812,3.25,2016,Arauca
Forastero (Nacional),Peru,72%,U.S.A.,Eclat (Felchlin),919,2.75,2012,"Maranon, Good & Evil, w/ nibs"
Criollo,Venezuela,68%,Germany,Edelmond,1876,3.0,2016,Porcelana
 ,Bolivia,75%,Bolivia,El Ceibo,709,3.75,2011,"Alto Beni, Covendo Region"
 ,Bolivia,71%,Bolivia,El Ceibo,252,2.75,2008,Alto Beni
 ,Venezuela,70%,Venezuela,El Rey,1662,3.75,2015,San Joaquin
Trinitario,Venezuela,60.5%,Venezuela,El Rey,439,2.75,2009,"Rio Caribe, Cariaco"
Trinitario,Venezuela,70%,Venezuela,El Rey,439,3.0,2009,"Rio Caribe, Macuro"
Criollo,Venezuela,74%,Venezuela,El Rey,206,2.5,2008,"Carenero Superior, Apamate"
Criollo,Venezuela,58%,Venezuela,El Rey,206,2.5,2008,"Carenero Superior, Bucare"
